,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,cell_name
0,0.086163186,0.048937265,-0.012069424,-0.16217682,-0.016724166,0.00032994436,-0.12666051,0.09800813,-0.0046783164,0.1215359,0.24566486,0.061880663,0.0027601852,-0.05241323,0.0025433693,SS.sc7785290
1,0.084863774,-0.06950437,-0.14641163,0.059170045,-0.11840283,0.19325027,-0.015960906,0.0003860806,-0.03526819,0.058071934,-0.054305017,0.06901573,-0.022104621,-0.033375353,-0.0092260875,SS.sc7785455
2,0.08165266,-0.041618835,-0.056771517,0.015156126,0.056505013,-0.012013031,0.003346187,0.006725806,0.08622767,-0.21813902,0.10718541,-0.043204352,-0.08423724,-0.19700734,0.029349972,SS.sc7785291
3,0.08822187,-0.040252317,-0.038697492,0.015490181,0.07677985,-0.043460477,0.020934502,-0.075848825,0.296931,-0.014851519,0.017759152,0.20244662,0.087146595,0.016157735,-0.14317828,SS.sc7788215
4,0.08627129,0.0427728,-0.009942865,-0.12400165,0.015549833,0.00085880933,-0.17465569,0.09655175,-0.0043727034,0.093618736,0.123668276,0.020284256,-0.012022033,0.013363888,0.0003389878,SS.sc7785378
5,0.080359645,-0.044831987,0.017567245,-0.0048592514,0.15105677,0.05334888,0.088564366,0.020059315,-0.12755601,0.014738458,0.026624793,0.02178689,0.11161284,0.03846698,-0.022595087,SS.sc7785530
6,0.08722545,-0.053501356,0.028879888,0.004237461,0.11589456,0.021683121,0.07800734,-0.07168319,0.17886636,0.18641905,-0.02237436,-0.024055762,-0.092663124,-0.019574223,0.1921233,SS.sc7788367
7,0.083247356,-0.06553952,-0.13525896,0.05391148,-0.093734026,0.1009467,-0.0070750224,-0.00014919542,-0.006671663,0.011415505,0.023413695,-0.0862772,0.058588624,0.14666598,0.027618451,SS.sc7786482
8,0.079598635,-0.02654776,-0.008188778,-0.012652057,0.1217512,0.024420239,-0.0028848213,0.04420198,-0.07097857,-0.14210846,-0.018745374,0.048350822,-0.08584169,-0.042613767,0.018010309,SS.sc7785336
9,0.08045834,-0.04877915,0.025144499,-0.0028319983,0.14524853,0.052641235,0.096834555,0.0057466757,-0.0985899,0.06256077,0.02658877,-0.0024987576,0.11235849,0.044483423,-0.01460573,SS.sc7785411
