"name_cell" "origin_space"
"156" "SS.sc7785780" "Caudal"
"157" "SS.sc7788293" "Caudal"
"158" "SS.sc7785364" "Rostral"
"159" "SS.sc7786556" "Rostral"
"160" "SS.sc7786401" "Caudal"
"161" "SS.sc7786380" "Caudal"
"162" "SS.sc7785534" "Rostral"
"163" "SS.sc7785700" "Caudal"
"164" "SS.sc7786315" "Caudal"
"165" "SS.sc7788285" "Caudal"
"166" "SS.sc7786493" "Rostral"
"167" "SS.sc7786259" "Caudal"
"168" "SS.sc7786553" "Rostral"
"169" "SS.sc7785562" "Rostral"
"170" "SS.sc7786561" "Rostral"
"171" "SS.sc7786536" "Rostral"
"172" "SS.sc7785891" "Caudal"
"173" "SS.sc7788313" "Caudal"
"174" "SS.sc7785529" "Yolk Sac"
"175" "SS.sc7786541" "Rostral"
"176" "SS.sc7785811" "Caudal"
"177" "SS.sc7786777" "Rostral"
"178" "SS.sc7785596" "Yolk Sac"
"179" "SS.sc7785303" "Yolk Sac"
"180" "SS.sc7788391" "Yolk Sac"
"181" "SS.sc7785918" "Caudal"
"182" "SS.sc7785770" "Caudal"
"183" "SS.sc7785830" "Rostral"
"184" "SS.sc7786254" "Caudal"
"185" "SS.sc7786773" "Rostral"
"186" "SS.sc7788168" "Caudal"
"187" "SS.sc7786182" "Caudal"
"188" "SS.sc7785683" "Caudal"
"189" "SS.sc7786742" "Rostral"
"190" "SS.sc7786012" "Caudal"
"191" "SS.sc7786260" "Caudal"
"192" "SS.sc7785510" "Rostral"
"193" "SS.sc7785634" "Rostral"
"194" "SS.sc7786016" "Caudal"
"195" "SS.sc7788076" "Caudal"
"196" "SS.sc7786285" "Caudal"
"197" "SS.sc7785650" "Yolk Sac"
"198" "SS.sc7786391" "Caudal"
"199" "SS.sc7785985" "Caudal"
"200" "SS.sc7785312" "Yolk Sac"
"201" "SS.sc7785545" "Yolk Sac"
"202" "SS.sc7786404" "Caudal"
"203" "SS.sc7786480" "Rostral"
"204" "SS.sc7786505" "Rostral"
"205" "SS.sc7785385" "Yolk Sac"
"206" "SS.sc7785597" "Yolk Sac"
"207" "SS.sc7785898" "Caudal"
"208" "SS.sc7785741" "Caudal"
"209" "SS.sc7785621" "Yolk Sac"
"210" "SS.sc7785804" "Caudal"
"211" "SS.sc7785512" "Rostral"
"212" "SS.sc7786526" "Rostral"
"213" "SS.sc7786153" "Caudal"
"214" "SS.sc7786651" "Rostral"
"215" "SS.sc7786258" "Caudal"
"216" "SS.sc7785543" "Yolk Sac"
"217" "SS.sc7786619" "Rostral"
"218" "SS.sc7785812" "Caudal"
"219" "SS.sc7785354" "Yolk Sac"
"220" "SS.sc7785581" "Rostral"
"221" "SS.sc7788124" "Caudal"
"222" "SS.sc7788075" "Caudal"
"223" "SS.sc7786257" "Caudal"
"224" "SS.sc7785983" "Caudal"
"225" "SS.sc7785693" "Caudal"
"226" "SS.sc7785724" "Caudal"
"227" "SS.sc7788163" "Caudal"
"228" "SS.sc7786508" "Rostral"
"229" "SS.sc7788258" "Caudal"
"230" "SS.sc7786765" "Rostral"
"231" "SS.sc7786183" "Caudal"
"232" "SS.sc7788103" "Caudal"
"233" "SS.sc7785773" "Caudal"
"234" "SS.sc7786174" "Caudal"
"235" "SS.sc7786202" "Caudal"
"236" "SS.sc7786167" "Caudal"
"237" "SS.sc7786299" "Caudal"
"238" "SS.sc7786096" "Caudal"
"239" "SS.sc7786102" "Caudal"
"240" "SS.sc7786403" "Caudal"
"241" "SS.sc7786749" "Rostral"
"242" "SS.sc7786095" "Caudal"
"243" "SS.sc7788164" "Caudal"
"244" "SS.sc7786355" "Caudal"
"245" "SS.sc7786158" "Caudal"
"246" "SS.sc7786785" "Rostral"
"247" "SS.sc7786502" "Rostral"
"248" "SS.sc7786321" "Caudal"
"249" "SS.sc7785654" "Rostral"
"250" "SS.sc7788187" "Caudal"
"251" "SS.sc7786015" "Caudal"
"252" "SS.sc7785509" "Rostral"
"253" "SS.sc7785990" "Caudal"
"254" "SS.sc7786342" "Caudal"
"255" "SS.sc7785363" "Yolk Sac"
"256" "SS.sc7786544" "Rostral"
"257" "SS.sc7785837" "Caudal"
"258" "SS.sc7786601" "Rostral"
"259" "SS.sc7785540" "Rostral"
"260" "SS.sc7785627" "Yolk Sac"
"261" "SS.sc7786417" "Caudal"
"262" "SS.sc7786177" "Caudal"
"263" "SS.sc7785726" "Caudal"
"264" "SS.sc7786390" "Caudal"
"265" "SS.sc7785743" "Caudal"
"266" "SS.sc7786632" "Rostral"
"267" "SS.sc7785351" "Yolk Sac"
"268" "SS.sc7786727" "Rostral"
"269" "SS.sc7786165" "Caudal"
"270" "SS.sc7786140" "Caudal"
"271" "SS.sc7785671" "Caudal"
"272" "SS.sc7786267" "Caudal"
"273" "SS.sc7788214" "Caudal"
"274" "SS.sc7785619" "Yolk Sac"
"275" "SS.sc7786310" "Caudal"
"276" "SS.sc7786139" "Caudal"
"277" "SS.sc7785602" "Yolk Sac"
"278" "SS.sc7788236" "Caudal"
"279" "SS.sc7786309" "Caudal"
"280" "SS.sc7788070" "Caudal"
"281" "SS.sc7786370" "Caudal"
"282" "SS.sc7786728" "Rostral"
"283" "SS.sc7788049" "Caudal"
"284" "SS.sc7785641" "Yolk Sac"
"285" "SS.sc7786397" "Caudal"
"286" "SS.sc7786172" "Caudal"
"287" "SS.sc7788332" "Caudal"
"288" "SS.sc7785788" "Caudal"
"289" "SS.sc7786152" "Caudal"
"290" "SS.sc7785360" "Yolk Sac"
"291" "SS.sc7786228" "Caudal"
"292" "SS.sc7788239" "Caudal"
"293" "SS.sc7786239" "Caudal"
"294" "SS.sc7786109" "Caudal"
"295" "SS.sc7785966" "Caudal"
"296" "SS.sc7785446" "Yolk Sac"
"297" "SS.sc7786303" "Caudal"
"298" "SS.sc7786710" "Rostral"
"299" "SS.sc7786383" "Caudal"
"300" "SS.sc7786115" "Caudal"
"301" "SS.sc7786645" "Rostral"
"302" "SS.sc7786686" "Rostral"
"303" "SS.sc7785801" "Caudal"
"304" "SS.sc7788071" "Caudal"
"305" "SS.sc7785694" "Caudal"
